rest,scr,id
9.66,L2 D B2 D L2 R2 U' R2 D L2 B R B' U2 L' B2 U L B R2 F ,220
9.66,B2 D2 F2 U' L2 U F2 U' F2 L F2 U B R2 F' U2 B U2 R2 ,221
9.66,L D2 L2 R' U2 F2 R' U2 B U' L2 R U' B2 U' F R' F2 R2 ,222
9.66,R' L2 U F2 R' F R B D L U R2 U' B2 U F2 D B2 R2 D' ,223
9.66,R' B' D' L' U' F2 L2 F2 R U' D2 B' R2 U2 F D2 B2 L2 F D2 ,224
9.67,D2 R2 U F2 D R2 D' U' F2 R' U2 L B' U F2 D2 B F D2 ,225
9.67,U2 B2 U B2 U2 L2 B2 R D R2 D' B2 R F D2 U ,226
9.67,F2 L B2 D' B U L2 U2 R2 U B2 R2 F2 R D2 L' B2 R B2 ,227
9.68,B2 D2 L F2 R D2 F2 D U2 L2 B2 F D R' B' R D2 B ,228
9.68,B2 F2 L2 U L2 U B2 U2 R2 D' F R2 D' R U' L' B' U' R B2 ,229
9.68,F2 U L2 D' B2 U' L2 B2 L2 U F' U2 L U2 R' B2 R2 D' F2 U2 ,230
9.68,L D' L' B' D2 L' F' R' U R B D2 R' B2 L B2 R2 F2 D2 F2 ,231
9.68,B' D2 B U2 D R B2 U2 L F' D2 R2 F D2 L2 F2 L2 ,232
9.68,B2 U2 B' R2 B' L2 U2 F' D2 L' U2 R' D' L F2 D2 R' F2 L' ,233
9.68,R' D' F' B' R' B2 U' D' B' L' U R2 D2 F' R2 F R2 D2 ,234
9.68,U' F' R' F L' U2 D2 B R F2 U B2 L2 U2 D' R2 F2 R2 U ,235
9.68,F' R2 F2 R2 D2 B2 F U2 R' D2 L' B D' L2 F' U L2 F2 L ,236
9.69,F2 R' F B L2 U L' D' L' F' U' R2 B2 D B2 D2 F2 B2 L2 D ,237
9.69,F2 R B2 U2 F2 R' U2 R B2 L' F D U' B F2 D B2 R2 B' ,238
9.69,B L2 F2 D2 U2 F L2 U2 B' D U2 R' B F' L' R' F2 U' L2 F ,239
9.69,R' D2 B U' L2 D2 L' F D L' B L2 D2 B' U2 D2 R2 U2 F U2 ,240
9.69,L2 U' D' F' R2 F R' F2 D L2 B U2 R2 D2 R2 U2 B2 R2 B L2 ,241
9.69,L2 U2 F2 D L2 U' L2 B2 F2 R D2 L R2 D2 R' F2 U B F ,242
9.71,F U2 B2 R' B' R2 U2 R D B' R' F2 R B2 L B2 R2 D2 B2 L ,243
9.71,F D L2 U2 B' L U F' R' F' U2 B' R2 F B U2 F' R2 U2 L2 ,244
